EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_VERSION,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(16),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_STATUS,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,48,16
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_TYPE,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_TYPE_VERSION,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_LIBRARY,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(20),YES,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_LIBRARY_VERSION,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_AUTHOR,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_DESCRIPTION,utf8mb3_general_ci,<blank>,NULL,9,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_LICENSE,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,LOAD_OPTION,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(12),NO,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_MATURITY,utf8mb3_general_ci,<blank>,NULL,12,NULL,utf8mb3,NULL,NULL,36,12
<blank>,varchar,<blank>,varchar(80),YES,NEVER,information_schema,select,ALL_PLUGINS,NULL,def,PLUGIN_AUTH_VERSION,utf8mb3_general_ci,<blank>,NULL,13,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(385),NO,NEVER,information_schema,select,APPLICABLE_ROLES,NULL,def,GRANTEE,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1155,385
<blank>,varchar,<blank>,varchar(128),NO,NEVER,information_schema,select,APPLICABLE_ROLES,NULL,def,ROLE_NAME,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,384,128
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,APPLICABLE_ROLES,NULL,def,IS_GRANTABLE,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(3),YES,NEVER,information_schema,select,APPLICABLE_ROLES,NULL,def,IS_DEFAULT,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(32),NO,NEVER,information_schema,select,CHARACTER_SETS,NULL,def,CHARACTER_SET_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,96,32
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,CHARACTER_SETS,NULL,def,DEFAULT_COLLATE_NAME,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(60),NO,NEVER,information_schema,select,CHARACTER_SETS,NULL,def,DESCRIPTION,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,180,60
<blank>,bigint,<blank>,bigint(3),NO,NEVER,information_schema,select,CHARACTER_SETS,0,def,MAXLEN,NULL,<blank>,NULL,4,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CONSTRAINT_NAME,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(6),NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,LEVEL,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,18,6
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,CHECK_CONSTRAINTS,NULL,def,CHECK_CLAUSE,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLLATIONS,NULL,def,COLLATION_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(32),YES,NEVER,information_schema,select,COLLATIONS,NULL,def,CHARACTER_SET_NAME,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,96,32
<blank>,bigint,<blank>,bigint(11),YES,NEVER,information_schema,select,COLLATIONS,0,def,ID,NULL,<blank>,NULL,3,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(3),YES,NEVER,information_schema,select,COLLATIONS,NULL,def,IS_DEFAULT,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,COLLATIONS,NULL,def,IS_COMPILED,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,9,3
<blank>,bigint,<blank>,bigint(3),NO,NEVER,information_schema,select,COLLATIONS,0,def,SORTLEN,NULL,<blank>,NULL,6,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,COLLATION_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(32),NO,NEVER,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,CHARACTER_SET_NAME,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,96,32
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,FULL_COLLATION_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(11),NO,NEVER,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,0,def,ID,NULL,<blank>,NULL,4,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,IS_DEFAULT,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,COLUMNS,NULL,def,TABLE_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMNS,NULL,def,TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMNS,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMNS,NULL,def,COLUMN_NAME,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,COLUMNS,0,def,ORDINAL_POSITION,NULL,<blank>,NULL,5,20,NULL,NULL,NULL,NULL,NULL
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,COLUMNS,NULL,def,COLUMN_DEFAULT,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,COLUMNS,NULL,def,IS_NULLABLE,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMNS,NULL,def,DATA_TYPE,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,COLUMNS,0,def,CHARACTER_MAXIMUM_LENGTH,NULL,<blank>,NULL,9,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,COLUMNS,0,def,CHARACTER_OCTET_LENGTH,NULL,<blank>,NULL,10,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,COLUMNS,0,def,NUMERIC_PRECISION,NULL,<blank>,NULL,11,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,COLUMNS,0,def,NUMERIC_SCALE,NULL,<blank>,NULL,12,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,COLUMNS,0,def,DATETIME_PRECISION,NULL,<blank>,NULL,13,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(32),YES,NEVER,information_schema,select,COLUMNS,NULL,def,CHARACTER_SET_NAME,utf8mb3_general_ci,<blank>,NULL,14,NULL,utf8mb3,NULL,NULL,96,32
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,COLUMNS,NULL,def,COLLATION_NAME,utf8mb3_general_ci,<blank>,NULL,15,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,COLUMNS,NULL,def,COLUMN_TYPE,utf8mb3_general_ci,<blank>,NULL,16,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,COLUMNS,NULL,def,COLUMN_KEY,utf8mb3_general_ci,<blank>,NULL,17,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,COLUMNS,NULL,def,EXTRA,utf8mb3_general_ci,<blank>,NULL,18,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,COLUMNS,NULL,def,PRIVILEGES,utf8mb3_general_ci,<blank>,NULL,19,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(1024),NO,NEVER,information_schema,select,COLUMNS,NULL,def,COLUMN_COMMENT,utf8mb3_general_ci,<blank>,NULL,20,NULL,utf8mb3,NULL,NULL,3072,1024
<blank>,varchar,<blank>,varchar(6),NO,NEVER,information_schema,select,COLUMNS,NULL,def,IS_GENERATED,utf8mb3_general_ci,<blank>,NULL,21,NULL,utf8mb3,NULL,NULL,18,6
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,COLUMNS,NULL,def,GENERATION_EXPRESSION,utf8mb3_general_ci,<blank>,NULL,22,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(385),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,GRANTEE,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1155,385
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_CATALOG,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,COLUMN_NAME,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,PRIVILEGE_TYPE,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(3),NO,NEVER,information_schema,select,COLUMN_PRIVILEGES,NULL,def,IS_GRANTABLE,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,9,3
<blank>,varchar,<blank>,varchar(128),YES,NEVER,information_schema,select,ENABLED_ROLES,NULL,def,ROLE_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,384,128
