LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_MATURITY,PLUGIN_DESCRIPTION,PLUGIN_AUTH_VERSION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,binlog,STORAGE ENGINE,MySQL AB,ACTIVE,NULL,GPL,1.0,Stable,This is a pseudo storage engine to represent the binlog in a transaction,1.0,101110.0,NULL
FORCE,mysql_native_password,AUTHENTICATION,"R.J.Silk, Sergei Golubchik",ACTIVE,NULL,GPL,1.0,Stable,Native MySQL authentication,1.0,2.2,NULL
FORCE,mysql_old_password,AUTHENTICATION,"R.J.Silk, Sergei Golubchik",ACTIVE,NULL,GPL,1.0,Stable,Old MySQL-4.0 authentication,1.0,2.2,NULL
FORCE,CSV,STORAGE ENGINE,"Brian Aker, MySQL AB",ACTIVE,NULL,GPL,1.0,Stable,Stores tables as CSV files,1.0,101110.0,NULL
FORCE,MEMORY,STORAGE ENGINE,MySQL AB,ACTIVE,NULL,GPL,1.0,Stable,"Hash based, stored in memory, useful for temporary tables",1.0,101110.0,NULL
FORCE,Aria,STORAGE ENGINE,MariaDB Corporation Ab,ACTIVE,NULL,GPL,1.5,Stable,Crash-safe tables with MyISAM heritage. Used for internal temporary tables and privilege tables,1.5,101110.0,NULL
FORCE,MyISAM,STORAGE ENGINE,MySQL AB,ACTIVE,NULL,GPL,1.0,Stable,Non-transactional engine with good performance and small data footprint,1.0,101110.0,NULL
FORCE,MRG_MyISAM,STORAGE ENGINE,MySQL AB,ACTIVE,NULL,GPL,1.0,Stable,Collection of identical MyISAM tables,1.0,101110.0,NULL
FORCE,SPATIAL_REF_SYS,INFORMATION SCHEMA,MariaDB,ACTIVE,NULL,GPL,1.0,Stable,Lists all geometry columns,1.0,101110.0,NULL
FORCE,GEOMETRY_COLUMNS,INFORMATION SCHEMA,MariaDB,ACTIVE,NULL,GPL,1.0,Stable,Lists all geometry columns,1.0,101110.0,NULL
FORCE,inet4,DATA TYPE,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Gamma,Data type INET4,1.0,101110.0,NULL
FORCE,inet6,DATA TYPE,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Data type INET6,1.0,101110.0,NULL
FORCE,inet_aton,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function INET_ATON(),1.0,101110.0,NULL
FORCE,inet_ntoa,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function INET_NTOA(),1.0,101110.0,NULL
FORCE,inet6_aton,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function INET6_ATON(),1.0,101110.0,NULL
FORCE,inet6_ntoa,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function INET6_NTOA(),1.0,101110.0,NULL
FORCE,is_ipv4,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function IS_IPV4(),1.0,101110.0,NULL
FORCE,is_ipv6,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function IS_IPV6(),1.0,101110.0,NULL
FORCE,is_ipv4_compat,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function IS_IPV4_COMPAT(),1.0,101110.0,NULL
FORCE,is_ipv4_mapped,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function IS_IPV4_MAPPED(),1.0,101110.0,NULL
FORCE,uuid,DATA TYPE,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Data type UUID,1.0,101110.0,NULL
FORCE,uuid,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function UUID(),1.0,101110.0,NULL
FORCE,sys_guid,FUNCTION,MariaDB Corporation,ACTIVE,NULL,GPL,1.0,Stable,Function SYS_GUID(),1.0,101110.0,NULL
FORCE,CLIENT_STATISTICS,INFORMATION SCHEMA,Percona and Sergei Golubchik,ACTIVE,NULL,GPL,2.0,Stable,Client Statistics,2.0,101110.0,NULL
FORCE,INDEX_STATISTICS,INFORMATION SCHEMA,Percona and Sergei Golubchik,ACTIVE,NULL,GPL,2.0,Stable,Index Statistics,2.0,101110.0,NULL
FORCE,TABLE_STATISTICS,INFORMATION SCHEMA,Percona and Sergei Golubchik,ACTIVE,NULL,GPL,2.0,Stable,Table Statistics,2.0,101110.0,NULL
FORCE,USER_STATISTICS,INFORMATION SCHEMA,Percona and Sergei Golubchik,ACTIVE,NULL,GPL,2.0,Stable,User Statistics,2.0,101110.0,NULL
FORCE,wsrep,REPLICATION,Codership Oy,ACTIVE,NULL,GPL,1.0,Stable,Wsrep replication plugin,1.0,2.0,NULL
FORCE,SQL_SEQUENCE,STORAGE ENGINE,jianwei.zhao @ Aliyun & Monty @ MariaDB corp,ACTIVE,NULL,GPL,1.0,Stable,Sequence Storage Engine for CREATE SEQUENCE,1.0,101110.0,NULL
ON,InnoDB,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,"Supports transactions, row-level locking, foreign keys and encryption for tables",10.11.10,101110.0,NULL
ON,INNODB_TRX,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,InnoDB transactions,10.11.10,101110.0,NULL
ON,INNODB_LOCKS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,InnoDB conflicting locks,10.11.10,101110.0,NULL
ON,INNODB_LOCK_WAITS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,InnoDB which lock is blocking which,10.11.10,101110.0,NULL
ON,INNODB_CMP,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,Statistics for the InnoDB compression,10.11.10,101110.0,NULL
ON,INNODB_CMP_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,Statistics for the InnoDB compression; reset cumulated counts,10.11.10,101110.0,NULL
ON,INNODB_CMPMEM,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,10.11,Stable,Statistics for the InnoDB compressed buffer pool,10.11.10,101110.0,NULL
